,precision,recall,f1-score,support
admiration,0.68,0.69,0.68,430.0
amusement,0.79,0.92,0.85,252.0
anger,0.61,0.51,0.56,197.0
annoyance,0.44,0.37,0.4,286.0
approval,0.5,0.61,0.55,318.0
caring,0.4,0.49,0.44,114.0
confusion,0.45,0.53,0.49,139.0
curiosity,0.65,0.58,0.61,233.0
desire,0.74,0.5,0.6,74.0
disappointment,0.49,0.25,0.33,127.0
disapproval,0.47,0.57,0.51,220.0
embarrassment,0.82,0.45,0.58,31.0
excitement,0.44,0.42,0.43,84.0
fear,0.69,0.77,0.73,75.0
gratitude,0.83,0.88,0.85,288.0
grief,0.33,0.67,0.44,6.0
joy,0.53,0.52,0.52,116.0
love,0.64,0.84,0.73,170.0
nervousness,0.64,0.41,0.5,17.0
optimism,0.64,0.4,0.49,120.0
pride,1.0,0.12,0.22,8.0
realization,0.35,0.3,0.32,109.0
relief,0.0,0.0,0.0,7.0
remorse,0.57,0.78,0.66,46.0
sadness,0.62,0.46,0.53,108.0
surprise,0.47,0.48,0.48,95.0
accuracy,0.59,0.59,0.59,0.59
macro avg,0.57,0.52,0.52,3670.0
weighted avg,0.59,0.59,0.58,3670.0
