Emotion,precision,recall,F1
gratitude,0.855,0.816,0.835
amusement,0.727,0.909,0.808
love,0.662,0.763,0.709
admiration,0.655,0.748,0.698
remorse,0.593,0.761,0.667
fear,0.627,0.703,0.662
neutral,0.646,0.608,0.626
embarrassment,0.667,0.467,0.549
joy,0.5,0.595,0.543
optimism,0.524,0.542,0.533
desire,0.603,0.473,0.53
sadness,0.509,0.509,0.509
curiosity,0.445,0.588,0.506
surprise,0.479,0.489,0.484
anger,0.556,0.426,0.483
disgust,0.463,0.452,0.458
nervousness,0.545,0.375,0.444
approval,0.496,0.393,0.439
confusion,0.347,0.475,0.401
disapproval,0.359,0.427,0.39
excitement,0.357,0.417,0.385
caring,0.349,0.395,0.37
disappointment,0.385,0.315,0.346
annoyance,0.357,0.287,0.318
realization,0.32,0.147,0.201
pride,0.5,0.125,0.2
grief,0.0,0.0,0.0
relief,0.0,0.0,0.0
